"DateTime";"DUQUE DE CAXIAS - XEREM"
"2021-05-30 02:00:00";129
"2021-05-30 03:00:00";102
"2021-05-30 04:00:00";128
"2021-05-30 05:00:00";111
"2021-05-30 06:00:00";144
"2021-05-30 07:00:00";132
"2021-05-30 08:00:00";131
"2021-05-30 09:00:00";101
"2021-05-30 10:00:00";347
"2021-05-30 11:00:00";135
"2021-05-30 12:00:00";255
"2021-05-30 13:00:00";309
"2021-05-30 14:00:00";156
"2021-05-30 15:00:00";107
"2021-05-30 16:00:00";99
"2021-05-30 17:00:00";143
"2021-05-30 18:00:00";209
"2021-05-30 19:00:00";222
"2021-05-30 20:00:00";1
"2021-05-30 21:00:00";258
"2021-05-30 22:00:00";310
"2021-05-30 23:00:00";282
"2021-05-31 00:00:00";111
"2021-05-31 01:00:00";41
"2021-05-31 02:00:00";263
"2021-05-31 03:00:00";78
"2021-05-31 04:00:00";19
"2021-05-31 05:00:00";112
"2021-05-31 06:00:00";174
"2021-05-31 07:00:00";262
"2021-05-31 08:00:00";151
"2021-05-31 09:00:00";4
"2021-05-31 10:00:00";123
"2021-05-31 11:00:00";194
"2021-05-31 12:00:00";166
"2021-05-31 13:00:00";98
"2021-05-31 14:00:00";271
"2021-05-31 15:00:00";125
"2021-05-31 16:00:00";211
"2021-05-31 17:00:00";219
"2021-05-31 18:00:00";77
"2021-05-31 19:00:00";125
"2021-05-31 20:00:00";134
"2021-05-31 21:00:00";73
"2021-05-31 22:00:00";258
"2021-05-31 23:00:00";210
